child_age,monthly_income,monthly_expense,education_expense,saving_rate,education_rate,has_emergency_fund,has_education_fund,has_basic_insurance,cashflow_score,education_score,protection_score,financial_health_score
11,34193,32956,5925,0.03617699529143392,0.17328108092299593,0,0,1,54,39,61,52
11,15578,13321,5223,0.14488381050198998,0.33528052381563744,0,1,0,63,76,39,60
4,51531,53359,11319,-0.035473792474432865,0.21965418874075798,1,0,1,56,35,97,62
13,32847,20483,10584,0.37641184887508755,0.3222212074162024,1,1,0,82,78,70,77
13,22005,18277,8252,0.16941604180867983,0.37500568052715294,0,0,1,61,30,74,56
6,21050,11886,900,0.43534441805225654,0.04275534441805225,0,0,1,99,52,74,77
9,40399,31274,8494,0.22587192752295848,0.21025272902794623,0,0,0,70,55,38,56
4,37914,21430,15725,0.43477343461518175,0.4147544442686079,1,1,1,96,76,98,90
15,58965,60697,16379,-0.029373357076231663,0.27777495124226237,0,1,1,42,57,65,53
6,33102,19902,12073,0.3987674460757658,0.364721164884297,0,0,1,78,47,64,65
12,53581,24751,19364,0.5380638659226218,0.36139676377820495,1,1,0,100,68,81,85
14,43791,45915,7726,-0.04850311707885182,0.1764289465871983,1,0,1,56,30,95,60
10,16364,16114,720,0.015277438279149352,0.04399902224395014,1,0,0,64,44,66,59
8,30118,25976,5058,0.1375257321203267,0.16793943820970847,1,1,0,68,71,77,71
6,16272,15080,5984,0.07325467059980334,0.36774827925270404,0,0,1,60,33,69,54
5,28384,16314,9981,0.42523957158962794,0.35164177001127395,0,1,1,80,79,72,77
12,59290,29371,11877,0.5046213526733008,0.2003204587620172,1,1,0,99,86,78,89
14,42193,40300,9350,0.04486526201028607,0.22160073945915199,1,1,1,70,62,100,77
10,23981,23086,8113,0.03732121262666278,0.3383094950168884,1,1,0,54,68,65,61
12,53952,53117,9552,0.015476720047449585,0.17704626334519574,0,0,0,46,40,35,41
10,59965,28114,3549,0.5311598432418911,0.059184524305845074,1,0,1,100,59,100,88
14,44070,30670,12028,0.3040617199909235,0.2729294304515543,1,1,1,81,67,100,82
5,20552,12793,8433,0.3775301673803036,0.410325029194239,1,1,0,85,73,75,78
3,11573,9740,2893,0.15838589821135401,0.24997839799533397,0,1,0,67,72,45,62
4,34260,31530,1713,0.0796847635726795,0.05,0,0,0,55,47,38,48
15,42247,31475,15262,0.2549766847350108,0.36125642057424195,1,1,1,72,69,94,77
5,23719,13520,9543,0.42999283275011596,0.4023356802563346,0,0,0,75,48,39,56
10,12664,11329,2412,0.10541692987997474,0.19046114971572964,1,0,1,65,40,100,68
12,26914,19306,2537,0.2826781600653935,0.09426320873894627,1,1,1,95,75,94,89
8,47564,29607,1347,0.3775334286435119,0.028319737616684888,0,0,0,90,69,34,67
13,40225,21090,15901,0.4756991920447483,0.3953014294592915,1,1,1,92,68,100,87
9,57840,28432,15403,0.5084370677731673,0.2663035961272476,0,1,1,91,82,68,81
15,40669,38794,14984,0.046103912070618897,0.3684378765152819,0,0,1,56,30,67,51
5,28365,13212,9548,0.5342147012162877,0.3366120218579235,1,0,0,96,58,79,80
7,35229,31663,8236,0.10122342388373215,0.23378466604218115,0,1,0,43,72,41,51
15,35193,26973,15806,0.23356917568834712,0.4491234052226295,1,0,1,83,37,100,74
10,30618,24671,9542,0.19423215102227448,0.31164674374550916,1,1,1,69,77,97,80
15,32984,27493,11373,0.16647465437788017,0.3448035411108416,0,1,0,55,67,39,54
4,29532,30774,6726,-0.04205607476635514,0.22775294595692808,1,1,0,53,70,64,61
4,57831,32609,15038,0.4361328699140599,0.2600335460220297,0,1,0,80,73,44,67
5,19473,10055,6767,0.48364401992502437,0.3475068042931238,0,1,0,78,78,49,69
7,52407,41493,5676,0.20825462247409698,0.1083061423092335,0,1,1,72,71,66,70
14,27348,13024,11284,0.5237677343864268,0.41260786894836915,1,1,0,95,75,77,83
7,58838,41558,20392,0.29368775281280807,0.34657874162955915,1,0,0,79,52,79,71
13,50358,23952,10623,0.5243655427141666,0.21094960085785774,1,0,1,100,43,100,83
11,31976,31783,8721,0.006035776832624468,0.2727358018513885,1,0,1,64,38,100,67
13,55462,51001,18762,0.08043344992968159,0.3382856730734557,1,0,1,61,40,94,64
3,48602,50844,18896,-0.046129788897576234,0.38879058474959877,1,0,0,48,42,62,50
11,16890,13967,4216,0.17306098283007698,0.24961515689757252,1,1,0,79,79,75,78
14,32283,21646,7764,0.329492302450206,0.2404980949725862,1,0,1,100,41,99,82
10,14007,9778,5756,0.30192046833725994,0.4109373884486328,0,0,1,68,46,72,63
6,23269,15854,2917,0.31866431733207273,0.1253599209248356,0,1,0,81,82,34,67
12,29218,13665,3354,0.5323088507084673,0.11479225135190636,1,0,0,100,57,80,81
4,37622,33438,7759,0.11121152517144224,0.2062357131465632,0,1,1,63,71,70,67
4,29109,17959,1576,0.38304304510632453,0.054141330859871516,0,1,1,87,78,68,79
4,50907,44237,18566,0.13102323845443653,0.36470426463944056,0,1,1,63,74,70,68
8,51588,31566,12765,0.38811351477087697,0.2474412654105606,0,1,0,77,77,42,67
9,31173,27885,12313,0.10547589259936484,0.39498925352067493,0,1,1,51,61,64,58
11,32088,18203,12994,0.43271628022936925,0.4049488905509848,1,0,1,97,48,100,83
14,57965,46333,11635,0.20067281980505478,0.20072457517467437,1,0,0,80,39,71,65
14,42765,26293,12827,0.3851747924704782,0.29994154097977316,1,1,1,85,78,100,87
12,36969,30207,4975,0.18291000568043497,0.13457220914820525,0,0,1,69,47,69,63
9,47277,23069,751,0.5120460266091335,0.01588510269264124,0,1,0,100,83,43,78
5,32917,32263,12028,0.0198681532338913,0.3654038946441049,0,1,0,40,66,30,45
9,45578,33762,14186,0.2592478827504498,0.31124665408749835,1,0,1,72,53,96,73
11,13154,9161,3041,0.3035578531245249,0.23118443059145508,1,0,1,87,49,90,77
8,55669,34730,8242,0.3761339345057393,0.14805367439688158,0,0,1,79,58,70,70
15,45976,35398,18997,0.23007656168435706,0.4131938402644858,1,1,0,67,69,72,69
4,28342,27883,7904,0.016195046221155883,0.2788794015948063,0,0,1,53,40,63,52
13,20336,14418,8292,0.29101101494885917,0.4077498033044847,0,0,1,65,40,66,58
10,42345,36184,5701,0.14549533593104264,0.13463218797969065,1,1,1,70,76,100,81
8,14193,12719,2827,0.10385401254139365,0.19918269569506095,1,0,1,74,48,88,70
4,28288,25072,11042,0.11368778280542986,0.39034219457013575,1,0,0,61,39,65,56
15,39868,24231,7923,0.3922193237684358,0.19873081167853918,0,0,0,73,44,45,56
13,30070,17825,10285,0.4072164948453608,0.34203525108081145,1,0,0,77,56,75,70
8,52326,47125,8283,0.09939609372013913,0.15829606696479762,1,1,1,67,77,100,80
10,38256,26448,13013,0.3086574654956085,0.34015579255541617,1,0,0,80,41,79,68
4,54622,32749,9840,0.4004430449269525,0.18014719343854124,0,0,1,86,51,69,70
4,32570,22013,961,0.32413263739637704,0.02950568007368744,1,0,1,96,42,100,81
14,38743,32133,672,0.17061146529695687,0.017345068786619518,0,0,1,70,53,65,63
6,27736,16473,1282,0.40607874242861264,0.04622151716181137,0,1,1,92,85,74,84
3,48292,33292,8382,0.3106104530771142,0.17356912117949141,1,0,0,84,58,77,74
3,33588,30519,1213,0.09137191854233655,0.03611408836489222,1,1,1,77,70,100,82
12,56181,47072,4871,0.16213666542069383,0.08670190989836421,0,1,1,73,77,72,74
15,16837,8609,6365,0.4886856328324523,0.3780364673041516,1,0,1,83,48,100,78
11,39024,25860,1699,0.33733087330873307,0.04353731037310373,0,1,1,88,84,69,81
9,30219,19719,8629,0.34746351633078526,0.28554882689698535,1,1,1,96,67,100,89
8,14723,7936,3186,0.46097941995517216,0.21639611492223051,1,1,1,100,83,100,95
15,57145,36199,1520,0.3665412547029486,0.026599002537404846,0,1,0,81,76,35,66
8,32380,29118,13002,0.10074119827053737,0.4015441630636195,0,0,1,51,38,71,53
9,44809,24022,9077,0.4639023410475574,0.20257091209355263,1,1,0,100,77,73,85
13,28944,24408,12125,0.15671641791044777,0.41891238253178553,0,1,1,68,70,63,67
5,23514,23530,8594,-0.000680445691928213,0.3654843922769414,0,1,1,30,60,69,51
9,58407,53115,19338,0.09060557809851559,0.3310904514869793,0,0,1,57,44,68,56
5,36352,32835,15421,0.09674845950704225,0.4242132482394366,0,0,0,46,45,44,45
7,13168,7977,2108,0.39421324422843257,0.1600850546780073,1,0,1,96,55,100,85
12,55227,46978,18968,0.1493653466601481,0.34345519401741903,0,0,0,58,43,40,48
13,43754,29180,10399,0.3330895460986424,0.23766969877039815,1,0,1,85,38,100,75
12,17415,12957,7557,0.25598621877691646,0.4339362618432386,1,1,1,69,69,100,78
6,17232,9340,914,0.45798514391829154,0.05304085422469824,1,1,1,100,84,100,95
11,38593,33709,10610,0.1265514471536289,0.27492032233824787,1,0,0,72,40,69,61
13,52074,38853,9863,0.25388869685447635,0.18940354111456773,0,0,1,70,42,70,61
7,12818,8932,4630,0.3031674208144796,0.361210797316274,1,1,0,77,66,71,72
3,16980,13097,7086,0.22868080094228505,0.41731448763250883,1,1,0,70,67,73,70
8,41247,35263,17943,0.14507721773704754,0.43501345552403814,1,1,1,68,72,100,79
3,47119,36754,9200,0.21997495702370592,0.19525032364863432,0,0,1,63,53,59,59
3,45523,43439,4101,0.04577905674054873,0.09008632998703951,0,0,1,58,47,62,56
13,39350,34925,12847,0.11245235069885642,0.3264803049555273,1,0,1,71,32,100,68
14,25325,21391,8432,0.1553405725567621,0.33295162882527146,0,0,1,61,43,65,57
14,40047,28409,16222,0.2906085349714086,0.4050740380053437,1,1,1,67,71,95,77
8,36991,38139,4701,-0.03103457597794058,0.12708496661350058,1,0,0,60,43,71,58
6,11440,5968,3885,0.4783216783216783,0.3395979020979021,1,1,0,94,70,80,83
13,21071,21865,5206,-0.03768212234825115,0.24706943192064923,1,1,0,53,67,70,62
3,34017,31539,3552,0.07284592997618837,0.10441837904577123,1,0,0,61,50,67,60
11,40369,22563,17022,0.44108102752111766,0.4216601847952637,1,1,0,90,81,72,82
13,57629,38592,6250,0.33033715663988616,0.10845234170296204,1,1,1,88,73,99,87
15,25497,16873,5447,0.338235870886771,0.21363297642859944,0,1,1,82,65,68,73
14,58452,46683,23119,0.20134469308150277,0.3955211113392185,0,1,1,64,61,73,66
9,54002,42297,15928,0.21675123143587274,0.2949520388133773,0,0,0,64,31,43,47
11,17820,10714,3187,0.3987654320987654,0.17884399551066218,1,0,0,94,56,71,76
11,38302,39280,10598,-0.025533914678084694,0.27669573390423474,0,1,1,58,67,63,62
3,12523,9502,759,0.2412361255290266,0.06060848039607123,1,1,0,91,70,76,80
13,51371,51773,18171,-0.007825426797220222,0.3537209709758424,0,1,0,36,63,29,42
13,55126,52601,17930,0.04580415774770526,0.3252548706599427,1,0,0,55,39,65,53
12,10200,8247,2948,0.19147058823529411,0.28901960784313724,0,0,0,60,34,28,43
14,45755,31038,19422,0.32164790733253196,0.4244781991039231,1,0,1,80,35,100,72
5,49025,44302,14498,0.0963386027536971,0.2957266700662927,1,0,1,68,41,94,68
10,23792,24621,4192,-0.03484364492266308,0.1761936785474109,1,0,1,66,37,89,64
10,32318,17572,9275,0.456278235039297,0.28699176929265424,0,0,1,85,58,74,73
6,29821,23353,751,0.216894135005533,0.025183595452868784,0,0,0,81,53,35,59
7,32947,30104,9243,0.08629010228548882,0.28054147570340243,1,1,1,54,69,100,72
8,21312,15663,5626,0.2650619369369369,0.2639827327327327,1,0,0,77,50,68,66
12,24104,19026,9521,0.21067042814470627,0.3949966810487886,1,1,1,71,71,100,80
11,50061,24451,17668,0.5115758774295359,0.3529294261001578,0,0,0,90,54,43,65
12,49794,44255,20702,0.11123830180343013,0.41575290195605896,1,1,0,66,60,72,66
9,13178,8986,3826,0.3181059341326453,0.29033237213537716,1,0,0,70,49,70,64
10,11677,10470,577,0.10336559047700608,0.0494133767234735,0,0,1,74,51,67,65
4,52854,54113,9687,-0.02382033526317781,0.18327846520603927,0,0,1,47,45,68,53
9,57519,35054,23087,0.3905665953858725,0.4013804134286062,0,1,0,70,66,43,61
15,29389,14195,10889,0.5169961550239885,0.37051277688931233,1,1,1,93,70,100,88
15,48541,31521,8575,0.35063142498094396,0.1766547866751818,0,0,1,72,47,68,64
3,28202,27263,6396,0.03329551095666974,0.22679242606907313,1,0,0,52,43,69,54
15,29261,25790,702,0.11862205666245172,0.02399097775195653,1,1,1,85,63,100,83
7,27734,21275,8579,0.2328910362731665,0.3093315064541718,0,0,0,63,45,36,49
13,40492,37678,6907,0.06949520893015905,0.17057690407981824,1,0,0,59,43,60,55
13,46954,25589,10344,0.45501980661924435,0.2203007198534736,1,0,1,100,51,100,85
9,26369,25243,6937,0.042701657249042436,0.26307406424210245,1,0,0,59,45,75,60
14,21739,16965,5273,0.2196053176319058,0.24255945535673215,0,1,1,65,66,67,66
10,47186,36936,19578,0.21722544822616877,0.4149112024753105,1,1,0,71,78,72,73
15,24268,21694,6316,0.10606560079116532,0.26026042525135984,0,0,1,65,38,62,56
14,41999,37183,7742,0.11466939689040215,0.18433772232672208,1,1,1,69,68,100,78
8,37840,23806,16324,0.370877378435518,0.4313953488372093,1,1,0,78,72,76,75
8,50465,26292,22688,0.4790052511641732,0.4495789160804518,0,0,0,81,48,49,61
5,49974,44026,14660,0.11902189138351943,0.2933525433225277,1,0,0,62,36,75,58
15,43185,25559,12486,0.40815097834896374,0.2891281695032998,1,0,1,82,40,100,75
9,46469,24654,11900,0.4694527534485356,0.256084701629043,1,1,0,100,76,69,83
5,32464,19240,8869,0.4073435189748645,0.2731949236076885,1,1,0,89,78,70,80
7,17194,10802,3077,0.37175758985692686,0.17895777596836104,1,0,1,100,47,100,84
9,52872,39904,14119,0.2452715993342412,0.26704115599939476,1,1,0,78,70,65,72
14,58629,58843,18513,-0.0036500707840829622,0.3157652356342424,0,0,1,41,36,58,45
10,15693,10943,2219,0.30268272478174985,0.14140062448225324,1,1,0,88,79,73,81
14,27178,16970,9883,0.3755979100743248,0.3636397085878284,1,0,0,86,46,83,73
15,52317,36410,16538,0.30405030869507044,0.3161113978247988,0,1,1,73,78,66,72
14,32187,29383,8496,0.08711591636374934,0.2639574983689067,1,0,0,65,39,60,56
6,36157,23211,8605,0.3580496169483088,0.23798987747877312,1,1,1,86,79,98,87
3,11010,5769,4264,0.4760217983651226,0.38728428701180745,0,0,0,84,51,47,63
13,31621,22433,1850,0.29056639574966003,0.0585054236108915,1,0,0,84,49,76,71
3,21986,17705,1776,0.1947148185208769,0.08077867734012553,0,0,1,72,42,70,63
8,32088,24244,2746,0.24445275492395913,0.08557716280229369,1,0,0,72,51,69,65
14,17920,14809,5546,0.17360491071428572,0.30948660714285714,1,0,0,65,41,71,60
12,47322,44925,20409,0.050652973247115506,0.4312793204006593,1,0,1,50,31,100,59
15,23685,18766,6822,0.2076841883048343,0.28803039898670046,0,0,1,68,36,62,56
9,31947,32279,11689,-0.010392212101292765,0.3658872507590697,0,1,0,41,66,37,47
11,43235,39641,5503,0.08312709610269457,0.12728113796692495,1,0,1,66,50,100,71
9,55838,40766,2397,0.269923707869193,0.04292775529209499,0,0,1,72,53,66,64
14,24990,13980,6592,0.44057623049219685,0.26378551420568225,0,1,0,87,74,41,69
10,45151,25785,12548,0.42891630307191425,0.27791189563907776,0,1,0,92,64,47,70
6,29089,21225,7319,0.27034274124239405,0.25160713671834717,1,1,0,78,77,66,74
3,34275,17681,14868,0.48414296134208606,0.4337855579868709,1,1,1,90,78,100,89
12,40332,24552,8532,0.39125260339184764,0.21154418327878607,0,0,1,89,42,74,70
14,55658,45199,3906,0.1879154838477847,0.07017859067878832,0,0,1,72,50,71,65
14,13564,10860,1282,0.19935122382777942,0.09451489236213506,0,1,0,69,72,26,57
15,33752,25878,5711,0.23328987911827448,0.16920478786442286,1,1,0,72,74,67,71
10,28580,26181,2478,0.08393981805458363,0.08670398880335899,1,0,1,69,42,100,70
14,47538,22713,7545,0.5222138079010475,0.15871513315663258,1,0,0,100,40,82,76
11,24374,12519,8070,0.48637892836629193,0.3310905062771806,0,0,0,89,53,43,64
4,9428,4770,1309,0.49406024607551974,0.13884174798472634,1,0,0,99,54,78,79
9,40514,19197,13041,0.5261637952312781,0.32188872982179,1,0,1,97,49,100,84
3,13748,10769,3637,0.21668606342740762,0.2645475705557172,0,1,0,70,74,35,61
10,43685,45264,16381,-0.03614512990729083,0.37497997024150165,1,1,1,52,69,100,71
8,58255,41468,5730,0.28816410608531456,0.09836065573770492,0,0,0,65,43,43,52
12,28840,24734,10192,0.14237170596393897,0.3533980582524272,0,1,0,55,67,37,53
6,47430,28512,1153,0.39886148007590133,0.024309508749736454,1,0,1,100,43,100,83
15,15269,15493,3489,-0.014670246905494793,0.22850219398781846,0,1,1,51,65,67,60
8,19416,20323,6346,-0.046714050267820356,0.32684384013185,0,0,1,38,49,73,52
5,29703,15915,4399,0.4641955358044642,0.1480995185671481,1,1,0,100,85,77,88
15,15080,6806,894,0.5486737400530504,0.05928381962864721,1,1,1,100,79,100,94
13,57692,40744,5829,0.2937669000901338,0.1010365388615406,1,0,0,82,41,76,68
4,30147,29384,12042,0.02530931767671742,0.39944273061996216,0,1,0,45,61,42,49
11,55319,42277,22146,0.23575986550733022,0.40033261628012073,1,1,0,63,71,73,68
4,9686,6053,1199,0.3750774313442081,0.12378690894073921,1,0,1,99,50,100,85
11,33396,21086,6578,0.36860701880464725,0.19696969696969696,1,1,0,87,77,70,79
15,53643,46010,3668,0.14229256380142796,0.06837798035158361,0,1,1,72,73,69,71
10,45533,28210,16106,0.38044934443151124,0.353721476731162,1,0,1,87,56,100,82
15,37428,22506,16049,0.3986854761141391,0.4287966228492038,0,0,0,68,47,45,55
14,12391,6287,3679,0.49261560810265514,0.29690904688887093,1,1,1,100,77,100,93
12,46530,40031,3783,0.13967332903503116,0.0813023855577047,0,0,1,72,47,67,63
9,17427,17971,5486,-0.03121592930510128,0.3147988753084294,1,0,1,58,30,94,60
10,53625,46572,3718,0.13152447552447552,0.06933333333333333,0,0,1,75,51,65,65
6,36948,23552,15465,0.3625636029013749,0.4185612211757064,1,1,1,89,70,100,87
11,45268,21318,6193,0.5290713086507025,0.13680745780683926,0,0,0,91,43,43,62
4,52641,24689,8427,0.5309929522615452,0.1600843449022625,1,1,1,100,90,100,97
5,45503,46029,7522,-0.011559677383908753,0.1653077819044898,0,0,0,45,52,36,44
7,47868,47921,10509,-0.0011072114982869558,0.21954123840561543,1,1,1,65,66,97,75
12,14705,6737,4690,0.5418565113906835,0.3189391363481809,1,1,1,100,76,100,93
13,54602,55771,21847,-0.02140947218050621,0.4001135489542508,1,0,0,47,37,65,50
3,50952,39225,10186,0.23015779557230334,0.19991364421416236,1,1,1,79,79,91,82
6,52978,41358,21416,0.21933632828721356,0.40424327079164935,1,1,1,75,60,100,78
13,29996,16424,4141,0.45246032804373915,0.13805174023203093,1,0,1,95,47,100,82
3,49575,41430,19515,0.1642965204236006,0.3936459909228442,0,1,0,55,69,34,53
9,45316,35385,5193,0.2191499691058346,0.11459528643304794,1,0,0,77,41,73,65
15,18383,16293,6932,0.11369199804166893,0.3770875265190665,0,0,1,57,40,66,55
8,57600,38409,1087,0.33317708333333335,0.01887152777777778,0,0,0,85,48,41,61
3,27542,21922,7969,0.20405199331929416,0.2893399172173408,1,1,0,57,71,69,65
14,16598,10929,6513,0.3415471743583564,0.3923966742981082,0,0,0,67,36,44,51
3,11161,10672,1448,0.04381327838007347,0.12973747872054475,1,1,1,62,74,97,76
11,25693,21764,10422,0.15292102907406688,0.40563577628147746,0,1,0,54,59,37,51
15,25235,24978,9071,0.010184267881910045,0.35946106597979,0,1,1,45,59,71,57
3,8835,4704,952,0.467572156196944,0.10775325410299944,1,0,0,100,57,70,78
9,56400,32975,3612,0.4153368794326241,0.06404255319148937,0,0,0,90,52,50,66
4,32420,25819,3496,0.20360888340530536,0.10783466995681679,0,1,1,78,70,75,75
15,18930,10370,1585,0.45219228737453776,0.08372952984680401,0,0,0,89,55,37,63
8,48065,22573,4781,0.530365130552377,0.09946946842817019,1,1,0,100,85,77,89
13,30170,30585,9070,-0.013755386145177328,0.3006297646668876,0,1,0,43,64,36,47
5,41132,33886,16747,0.1761645434211806,0.407152581931343,0,0,1,57,38,68,55
6,13166,9684,4138,0.26446908704238187,0.3142943946528938,1,0,1,78,46,95,74
11,43985,19798,3478,0.5498920086393089,0.07907241104922133,1,0,1,100,51,100,85
12,47318,36796,12404,0.22236780929033348,0.2621412570269242,1,0,0,76,35,76,63
11,32503,18109,1250,0.4428514290988524,0.038457988493369843,0,1,0,100,81,39,76
9,22128,17445,3622,0.21163232104121474,0.16368402024584236,1,0,1,81,54,100,78
10,8284,8071,3515,0.02571221632061806,0.4243119266055046,0,1,1,36,67,71,56
12,53384,49003,8634,0.08206578750187322,0.16173385283980218,1,1,1,76,64,100,79
7,53973,42237,10786,0.2174420543605136,0.19984066107127638,0,0,0,68,43,46,54
14,49738,32945,4281,0.3376291768868873,0.08607101210342193,1,1,1,100,76,100,93
4,9656,7465,1095,0.22690555095277548,0.1134009942004971,0,0,0,61,52,39,52
10,14716,10297,6581,0.3002854036422941,0.4472003261755912,1,0,1,79,43,100,74
11,11525,5292,2558,0.540824295010846,0.2219522776572668,0,1,0,98,82,41,76
13,12880,7327,1923,0.4311335403726708,0.14930124223602484,0,1,0,85,69,38,66
14,18145,8819,1759,0.5139707908514742,0.0969413061449435,1,0,1,100,44,100,83
5,42118,21187,17052,0.4969609193219051,0.4048625290849518,0,1,1,83,74,71,77
15,48519,39216,16060,0.19173931861744883,0.3310043488118057,0,0,1,59,39,74,57
11,55446,43485,1309,0.21572340655773184,0.02360855607257512,1,1,1,79,85,100,87
13,35800,19515,3868,0.4548882681564246,0.10804469273743017,1,0,0,94,56,73,76
8,9106,7287,3257,0.19975840105424994,0.35767625741269493,0,0,0,65,45,42,52
4,26449,24440,7670,0.07595750311921055,0.2899920601913116,1,1,0,59,65,74,65
13,17442,12731,6048,0.27009517257195276,0.34674922600619196,1,0,0,76,47,69,65
13,41590,23382,5774,0.43779754748737676,0.13883144986775667,0,0,1,88,50,75,73
8,31405,18333,11498,0.4162394523165101,0.3661200445788887,0,0,1,92,46,73,72
12,17987,17360,5143,0.03485850892311113,0.28592872630232946,1,1,1,56,74,99,74
8,16801,12992,4431,0.2267126956728766,0.26373430152967087,1,1,1,82,64,95,81
5,43298,25920,9125,0.4013580303940136,0.2107487643771075,0,0,0,90,58,44,66
3,44149,28406,18308,0.3565879181861424,0.41468662936872863,1,0,1,74,52,96,74
4,34003,27224,8727,0.19936476193277064,0.2566538246625298,0,0,0,66,39,42,51
5,56229,56989,12257,-0.013516157143111206,0.21798360276725534,0,0,1,47,34,66,49
9,38780,32348,2021,0.16585869004641568,0.052114492006188756,0,1,0,71,72,29,59
8,46514,42339,3050,0.08975792234596036,0.06557165584555187,1,1,0,69,80,68,72
11,17107,14905,1856,0.1287192377389373,0.10849359911147484,0,0,1,63,41,63,56
15,29641,17051,8389,0.42474950237846226,0.28302014102088324,1,1,0,91,70,66,77
5,49257,38963,1784,0.2089855249000142,0.036218202488986335,0,0,0,69,50,44,56
7,13619,7902,4179,0.41978118804611203,0.3068507232542771,1,1,0,84,71,79,79
11,25335,14147,6114,0.44160252614959544,0.24132622853759622,1,0,0,91,57,81,78
11,40986,22293,3553,0.45608256477821696,0.08668813741277509,1,0,0,100,52,74,78
15,39596,30310,11985,0.2345186382462875,0.30268208909990907,0,1,0,55,68,39,54
9,50896,29634,10851,0.41775385099025464,0.21319946557686262,1,1,0,83,79,67,77
15,21349,16377,9545,0.232891470326479,0.44709354068106233,1,0,1,72,39,96,69
15,53830,55327,5801,-0.027809771502879436,0.1077651866988668,0,0,1,65,38,58,55
13,8346,4501,1095,0.46069973640067097,0.13120057512580877,1,1,0,93,80,78,85
15,19486,19258,8599,0.011700708200759519,0.4412911834137329,1,0,0,49,35,72,51
13,10363,7609,2459,0.2657531602817717,0.23728650004824858,0,0,0,67,44,41,53
4,44018,29130,18821,0.33822527147984915,0.4275750829206234,1,1,1,80,74,100,84
4,41638,27181,18126,0.34720687833229263,0.435323502569768,1,1,1,84,73,100,85
4,24896,12309,6769,0.5055832262210797,0.27189106683804626,0,0,1,91,54,70,74
9,52151,48003,11706,0.07953826388755729,0.2244635769208644,0,0,1,56,44,56,52
6,56197,41151,9196,0.26773671192412407,0.16363862839653362,0,0,0,66,56,37,55
12,26004,19742,3496,0.24080910629133978,0.134440855253038,1,1,0,81,74,61,73
15,19455,16244,2472,0.16504754561809304,0.12706245181187356,1,1,0,74,69,70,71
10,48179,32922,12490,0.3166732393781523,0.2592415782809938,0,1,1,69,69,67,68
5,45741,43062,7989,0.05856889879976389,0.17465730963468223,0,1,0,57,75,29,54
5,49330,39139,17997,0.20658828299209406,0.36482870464220557,1,1,1,68,59,97,74
11,24889,16838,824,0.3234762344810961,0.033106995058057774,1,0,1,87,53,100,81
13,41452,34627,15145,0.16464826787609765,0.36536234681076907,0,1,1,53,75,74,66
12,45462,33720,2837,0.25828164181074303,0.062403765782411684,0,0,1,75,45,71,65
10,59181,50431,25007,0.14785150639563374,0.4225511566212129,1,1,0,67,76,62,68
15,13455,6905,2650,0.4868078781122259,0.19695280564845782,0,0,1,91,41,77,72
10,38617,35090,9426,0.09133283269026594,0.24408939068285987,1,0,0,64,41,72,59
10,43367,26957,3434,0.37839832130421747,0.07918463347706782,1,1,1,96,84,99,93
14,40239,33739,10317,0.16153482939436864,0.25639305151718483,0,1,1,68,67,73,69
6,18700,18998,3692,-0.015935828877005346,0.1974331550802139,1,0,1,49,42,100,62
